Product Name,Price,Source,url,Image,name
Spiral Potato Cutter Cucumber Slicer Vegetable Spiralizer Kitchen Gadgets,₹525,eBay,https://www.ebay.com/itm/126736195590?_skw=vegetable+cutter&itmmeta=01JS3SD83KGFVR4A1VNWHR5132&hash=item1d8210e006:g:z7wAAOSw-~BnFzz6&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1eQfByIHqCzs32V2QzA2GwASGlVdjLccHY2g1Te%2FyZaCNa35Cnf1EfQBRllSt1b1QPK%2BTCINCu1DmxkQEtK3EdWH5Saj09zqOQSWfeFiT%2BKEjyiW%2B5afLn4kM64JLOPzABzi4JXyPWLjiWAA8VcwJ5aZ1t%2FQlxiFNOJcPHl4AqCD0IIhxU4BfjWEF8EeR3dvZPgqIezp2QxwpXNNis1lzQBrdPV6aXNSPFC6EOc9oer3WOe6Go%2Bgel5OL1KHOnuxks%3D%7Ctkp%3ABk9SR4KCtfnIZQ,,
"15 in 1 Vegetable Chopper, Salad Fruit Vegetable Food Chopper Slicer Peeler",₹2075,eBay,https://www.ebay.com/itm/396309385763?_skw=vegetable+cutter&itmmeta=01JS3SD83K0XXG0213209X96H7&hash=item5c45e15223:g:Yv0AAOSwDptng73g&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cNXEAGOm9e5vnT0h0WDfNWKuK3Ks9k12qEKH%2BAuL7oAN61RsH6hmgZtAcYPCRv%2FIsdTVxeBeba5X64ETSOWvDw8jAkQaciECzsuOQXJwEgZSCCWbi%2BWKEHDNkfLCG7wO8xWUkCgeomo7Q%2BGb2KrMk9XAlkc4Eq0JqEQ6ex9qBiHcezRH3x59jIur1iEWzCDY%2B0TWHTEOU6%2Bt5iMsSasmyezwfIxOctm3rphrHKraHAO6Kgc%2BcQ4npHyRK%2F9xRQDG9%2FuipnbEkaCqb4vFOQx1yf8HjUekTqedMxMFpqSe8V1A%3D%3D%7Ctkp%3ABk9SR4KCtfnIZQ,,
Adjustable Mandoline Slicer Stainless Steel Vegetable Slicer Chopper Cutter,₹1100,eBay,https://www.ebay.com/itm/167422177955?_skw=vegetable+cutter&itmmeta=01JS3SD83KP1JK1GCRSH4Y11CT&hash=item26fb23b2a3:g:zjAAAOSwR5ln7PMd&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cUz9xhXkLuU6e%2BmmE35wjdZ5HrtzVxFnIl74X97GLqmbFV8wjQKWNmKOIR3%2BWbYSm4LAWL2W07E8drtc0XyapuUrv2HuNcLgH8I5VEIDVH5rNc5NdV1PRpW0kzvkIFayzXGUq3mqDFr%2FnrmRT96mx6YH%2BF9kR--iI85nD4EvcImAuxWSVOPL0gDSnrsMNgbHMLLEXNpR7GvDMuuIEmtvAfT4%2F1R466ToaPrB3tVnNd%2FiUiJ4FgSx%2FnDU6Eizn6eiOXWJwGiVGVVUnJAmzybnwl8I6ItgWrNimBLmf5osQNcw%3D%3D%7Ctkp%3ABk9SR4KCtfnIZQ,,
14-In-1 Vegetable Fruit Chopper Food Onion Veggie Dicer Slicer Cutter Kitchen,₹2071,eBay,https://www.ebay.com/itm/403183419530?_skw=vegetable+cutter&itmmeta=01JS3SD83KCTKB7A4D0K0S5RY0&hash=item5ddf9ac08a:g:YgMAAOSwwWBhS~cI&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fJyZ6LkL13pd5XcsY3qBHm0%2FcHI58W3kp0xxUyKrypFwoFNoeZEEq2UdD596DXoUv%2F2AXXtyx6Mhf7%2BFhfgUa9jFiCs1MLeZSun89R5e5WOcLwaC5NuRt7JF8pbc%2Bvx15GPJq1FvIzfmvuuOjJRFeFOkcb9L9Y0BIt52w3ghZqjwas0Rabw75b1b%2BNhAHcVZ%2Bz4ySK9N3jb%2F6AvhwtQNSxDZHXgcKM%2F21GyaxV3PzDtqq1WRRoHxWh3RNKI9By0Xw7LBvu0ceogJAegHvR56VVaKDSlwGhjXHo7ixBFSDubg%3D%3D%7Ctkp%3ABFBMgoK1-chl,,
5 in 1 Vegetable Chopper Safe Mandoline Slicer Food Potato Cutter Adjustable,₹1991,eBay,https://www.ebay.com/itm/166974129383?_skw=vegetable+cutter&itmmeta=01JS3SD83K7F6KW0V8KCV05SBJ&hash=item26e06f04e7:g:RmQAAOSwtatm52tO&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eIdU%2FJepNIa%2FworkZJayY2aEv2H9yfBlWw5CVu0bNUa6nRJoGI3I5c3%2FysMhPpe07InojDvSTwdBQVn9j0URCMnSi51uuuXHtERL7M7FEXGHUzbFIyhGGY3%2B%2FTfXx9KCsaeBDzobNUB9H6U2u5%2BSxSeo8TN3E17AyL7AfZVAkxk0AQBImbYeOfV0mm5ekd7CLq%2FVB%2BDsqvltXzbVt%2FlqmRc2tvk4tRBt53dn9NJTPZSA5JWgTtUJEKsSOELfjzOHQb%2BeekSOlOnA%2BI5jSXNSo%2FQ43tTQ0MT1Jh8kCuqDszOA%3D%3D%7Ctkp%3ABFBMgoK1-chl,,
,₹299,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTc3NjM1NTEwMTE0MDMyOjE3NDQ5NTc3Nzg6c3BfYXRmOjMwMDEzMjcxMjI3OTgzMjo6MDo6&url=%2FButterfly-Premium-Vegetable-Chopper-Blue%2Fdp%2FB085F2HVF9%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.00k5EqQb1Fap_QVfbE7wzgj_n6qvLoRkcAQ6raxURoB_fHJoex-iE7D9O19J97gSKDGBLaoaYf9dAbwfQM01YQzVNdDylzKvMHgHE7vA3CYOcdbhiSvGMXXOgCoY3OcrcXs3wbVxUu9vAZ3yH767HwlMKPfHnlIGGbed_NLa09arOIsDkMQZiv2FgjYQJ_o97nlAmfu34DfDgWgpNmsOWg9yK5yBq5s7fBPt7pk8f7SqRLoVdG7AwnLIYgZT4gSPguPELrty2tWKNrJAHYlGWrUDmdYJlsjR1jinTDr5XEQ.EhVbpIR_JizHE_JfirARDs3wAhbNi7lc1V7gCn59omU%26dib_tag%3Dse%26keywords%3Dvegetable%2Bcutter%26qid%3D1744957778%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61fPH47Hd0L._AC_UL320_.jpg,"Butterfly Premium Vegetable Chopper 900 Ml, Blue"
,₹729,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTc3NjM1NTEwMTE0MDMyOjE3NDQ5NTc3Nzg6c3BfYXRmOjMwMDUyNzYwNjkzMzEzMjo6MDo6&url=%2FTekcool-Multipurpose-Chopper-Vegetable-Unbreakable%2Fdp%2FB0DJF8J4TS%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.00k5EqQb1Fap_QVfbE7wzgj_n6qvLoRkcAQ6raxURoB_fHJoex-iE7D9O19J97gSKDGBLaoaYf9dAbwfQM01YQzVNdDylzKvMHgHE7vA3CYOcdbhiSvGMXXOgCoY3OcrcXs3wbVxUu9vAZ3yH767HwlMKPfHnlIGGbed_NLa09arOIsDkMQZiv2FgjYQJ_o97nlAmfu34DfDgWgpNmsOWg9yK5yBq5s7fBPt7pk8f7SqRLoVdG7AwnLIYgZT4gSPguPELrty2tWKNrJAHYlGWrUDmdYJlsjR1jinTDr5XEQ.EhVbpIR_JizHE_JfirARDs3wAhbNi7lc1V7gCn59omU%26dib_tag%3Dse%26keywords%3Dvegetable%2Bcutter%26qid%3D1744957778%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71cmNKyT9zL._AC_UL320_.jpg,"15 in 1 Multipurpose Chopper, Fruits & Vegetable Cutters, Grater Peeler Chipser, Unbreakable Food Grade Body, Easy Push to Clean Button Slicer Dicer, Chopper for Kitchen (Green, Plastic)"
,₹399,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTc3NjM1NTEwMTE0MDMyOjE3NDQ5NTc3Nzg6c3BfYXRmOjMwMDUzMDg0Mjg1MTUzMjo6MDo6&url=%2FVOLTURI-Chopper-Vegetable-Effortlessly-Vegetables%2Fdp%2FB0DY7CMRYC%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.00k5EqQb1Fap_QVfbE7wzgj_n6qvLoRkcAQ6raxURoB_fHJoex-iE7D9O19J97gSKDGBLaoaYf9dAbwfQM01YQzVNdDylzKvMHgHE7vA3CYOcdbhiSvGMXXOgCoY3OcrcXs3wbVxUu9vAZ3yH767HwlMKPfHnlIGGbed_NLa09arOIsDkMQZiv2FgjYQJ_o97nlAmfu34DfDgWgpNmsOWg9yK5yBq5s7fBPt7pk8f7SqRLoVdG7AwnLIYgZT4gSPguPELrty2tWKNrJAHYlGWrUDmdYJlsjR1jinTDr5XEQ.EhVbpIR_JizHE_JfirARDs3wAhbNi7lc1V7gCn59omU%26dib_tag%3Dse%26keywords%3Dvegetable%2Bcutter%26qid%3D1744957778%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81UDDQ87PnL._AC_UL320_.jpg,"Chopper for Kitchen Use Vegetable Chopper Kitchen Manual Handy Compact Push Chopper with 5 Blades for Effortlessly Cutting Vegetables, Onion, Ginger, Garlic, Salad, Tomato, Potato (A-1000 ML)"
,₹149,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTc3NjM1NTEwMTE0MDMyOjE3NDQ5NTc3Nzg6c3BfYXRmOjMwMDUzNjEwODI5MDUzMjo6MDo6&url=%2Fjankylabh-Stainless-Vegetable-Crinkle-Chopper%2Fdp%2FB0F53K52P1%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.00k5EqQb1Fap_QVfbE7wzgj_n6qvLoRkcAQ6raxURoB_fHJoex-iE7D9O19J97gSKDGBLaoaYf9dAbwfQM01YQzVNdDylzKvMHgHE7vA3CYOcdbhiSvGMXXOgCoY3OcrcXs3wbVxUu9vAZ3yH767HwlMKPfHnlIGGbed_NLa09arOIsDkMQZiv2FgjYQJ_o97nlAmfu34DfDgWgpNmsOWg9yK5yBq5s7fBPt7pk8f7SqRLoVdG7AwnLIYgZT4gSPguPELrty2tWKNrJAHYlGWrUDmdYJlsjR1jinTDr5XEQ.EhVbpIR_JizHE_JfirARDs3wAhbNi7lc1V7gCn59omU%26dib_tag%3Dse%26keywords%3Dvegetable%2Bcutter%26qid%3D1744957778%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/518MVhP2bEL._AC_UL320_.jpg,Stainless Steel Potato Carrot Chip Vegetable Crinkle Wavy Chopper Cutter French Fry Slicer 1 Pack/Set
,₹699,Amazon,https://www.amazon.in/Ganesh-Vegetable-Dicer-Cutting-Blades/dp/B01BVDS1BE/ref=sr_1_5?dib=eyJ2IjoiMSJ9.00k5EqQb1Fap_QVfbE7wzgj_n6qvLoRkcAQ6raxURoB_fHJoex-iE7D9O19J97gSKDGBLaoaYf9dAbwfQM01YQzVNdDylzKvMHgHE7vA3CYOcdbhiSvGMXXOgCoY3OcrcXs3wbVxUu9vAZ3yH767HwlMKPfHnlIGGbed_NLa09arOIsDkMQZiv2FgjYQJ_o97nlAmfu34DfDgWgpNmsOWg9yK5yBq5s7fBPt7pk8f7SqRLoVdG7AwnLIYgZT4gSPguPELrty2tWKNrJAHYlGWrUDmdYJlsjR1jinTDr5XEQ.EhVbpIR_JizHE_JfirARDs3wAhbNi7lc1V7gCn59omU&dib_tag=se&keywords=vegetable+cutter&qid=1744957778&sr=8-5,https://m.media-amazon.com/images/I/71SSpHadzXL._AC_UL320_.jpg,"Ganesh 14 in 1 Multipurpose Chopper, Fruits & Vegetable Cutters, Grater Peeler Chipser, Unbreakable Food Grade Body, Easy Push to Clean Button Slicer Dicer, Chopper for Kitchen (Green, Plastic)"
